Sentences,Aspects,Aspects Sentiment
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء في أحد الموزعين المعتمدين.,"خبرة،الموزعين","1,1"
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بخصومات على فواتير الكهرباء.,,
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية تناسب العاملين عن بعد.,,
تمنيت لو كان بإمكاني تفعيل خدمات إضافية مثل البريد الصوتي عبر الإنترنت.,,
أسعدني وجود خدمة عملاء متاحة بخدمة الرد الآلي باللغة العربية الفصحى.,خدمة عملاء,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة حظر الإشعارات غير المرغوبة من التطبيقات الأخرى.,الإشعارات,-1
استفدت من خدمة الإبلاغ عن مشاكل في تطبيق الهاتف عبر البريد الإلكتروني.,,
لاحظت تحسنًا في استقرار شبكة الإنترنت الأرضي خلال فصل الصيف.,,
انبهرت بسرعة تنفيذ طلب استبدال شريحة الهاتف التالفة.,شريحة الهاتف,-1
أشعر بالرضا عن الشفافية في عرض تفاصيل استهلاك الإنترنت على تطبيق الهاتف.,,
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء عبر الدردشة الحية على موقع الشركة.,"خبرة،الدردشة","1,1"
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بهدايا قيمة.,هدايا,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية خاصة بالمحتوى التعليمي.,باقات انترنت شهرية,1
تمنيت لو كان بإمكاني شراء باقة إنترنت إضافية صالحة ليوم واحد فقط.,,
أسعدني تلقي مكالمة ترحيبية من موظف الشركة عند الاشتراك بخدمة إنترنت الألياف البصرية.,مكالمة,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة مشاركة الموقع الجغرافي بشكل آمن.,,
استفدت من خدمة توصيل الفني لإصلاح مشكلة في جهاز المودم.,,
لاحظت تحسنًا في استجابة فريق خدمة العملاء عبر وسائل التواصل الاجتماعي خلال عطلة نهاية الأسبوع.,,
انبهرت بخدمة الواقع الافتراضي التي تقدمها الشركة لتجربة الوجهات السياحية العالمية.,الوجهات السياحية,1
أشعر بالرضا عن سهولة استخدام تطبيق الهاتف لإدارة الإعدادات الشخصية.,,
انطبعت لدي خبرة سلبية مع فريق خدمة العملاء عبر الهاتف بسبب قلة الخبرة التقنية للموظف.,"خبرة،الخبرة","-1,-1"
استفدت من خدمة شحن الرصيد عن طريق المحفظة الرقمية للبنك.,,
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية خاصة بالاستخدام العالي جدًا.,الاستخدام,-1
تمنيت لو كان بإمكاني تفعيل باقة التجوال الدولي إلكترونيًا قبل السفر.,,
أسعدني وجود خدمة عملاء متاحة عبر الفروع والمنافذ المعتمدة.,"خدمة عملاء،المنافز","1,1"
تمنيت لو كان بإمكاني إلغاء باقة الاشتراك إلكترونيًا.,,
استفدت من خدمة توصيل الفني للمساعدة في نقل خدمة الإنترنت إلى منزل جديد.,منزل,1
لاحظت تحسنًا في تغطية شبكة الهاتف المحمول في المناطق الريفية.,المناطق,1
انبهرت بخدمة الواقع المعزز التي تقدمها الشركة لتجربة خدمات ومنتجات جديدة.,"خدمات،منتجات","1,1"
أشعر بالإحباط من عدم وجود باقات إنترنت شهرية تناسب الاستخدام الخفيف.,,
استفدت من خدمة استبدال الهاتف القديم بهاتف ذكي حديث.,,
تمنيت لو كان بإمكاني تتبع حركة استهلاك الرصيد بشكل تفصيلي (بما في ذلك المكالمات والرسائل).,,
أسعدني وجود خدمة عملاء متاحة باللغة العامية المصرية.,وجود خدمة عملاء,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة الاتصال الجماعي عبر الفيديو.,,
استفدت من خدمة الإبلاغ عن محتوى غير مناسب عبر الإنترنت.,خدمة الإبلاغ,1
لاحظت تحسنًا في سرعة تحميل الملفات الكبيرة.,تحسنًا,1
انبهرت بجودة خدمة الإنترنت اللاسلكي المجاني المتوفرة في بعض وسائل المواصلات العامة.,خدمة الإنترنت اللاسلكي,1
أشعر بالرضا عن استقرار شبكة الهاتف المحمول خلال ساعات الذروة.,,
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء عبر تطبيق واتساب.,خبرة,1
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بخصومات على خدمات الترفيه.,خدمة تجميع النقاط,1
أتمنى أن يكون لدى الشركة عروضًا خاصة للمشاريع الصغيرة والمتوسطة.,,
تمنيت لو كان بإمكاني شراء بطاقة SIM مسبقة الدفع من المتجر الإلكتروني.,,
أسعدني وجود خدمة عملاء متاحة على مدار الأسبوع.,وجود خدمة عملاء,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة ترجمة النصوص المكتوبة باللغات الأجنبية.,,
استفدت من خدمة توصيل الفني لإصلاح مشكلة في جهاز الإنترنت اللاسلكي.,خدمة توصيل الفني,1
لاحظت تحسنًا في استجابة فريق خدمة العملاء عبر البريد الإلكتروني خلال فترة الإجازات.,استجابة فريق خدمة العملاء,1
انبهرت بخدمة الحجز المسبق لاستلام شريحة الهاتف الجديدة من الفرع.,خدمة الحجز المسبق,1
أشعر بالرضا عن سهولة استخدام تطبيق الهاتف لشراء باقات إنترنت إضافية.,سهولة استخدام تطبيق الهاتف,1
انطبعت لدي خبرة سلبية مع فريق خدمة العملاء عبر الهاتف بسبب صعوبة إيصال المشكلة.,,
استفدت من خدمة شحن الرصيد عن طريق كروت الشحن الإلكترونية.,خدمة شحن الرصيد,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية تشمل خدمات VPN آمنة.,,
تمنيت لو كان بإمكاني تفعيل باقة الاشتراك الجديدة إلكترونيًا بعد استلام شريحة الهاتف.,,
أسعدني وجود خدمة عملاء متاحة على مدار 24 ساعة في اليوم و7 أيام في الأسبوع.,وجود خدمة عملاء,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة إدارة حسابات متعددة مرتبطة برقم هاتف واحد.,,
استفدت من خدمة استبدال الهاتف التالف بجهاز جديد وفقًا للخطة التأمينية.,خدمة استبدال,1
يوفر تطبيق الهاتف ميزة مفيدة لتحديد أقرب مركز خدمة.,ميزة,1
لاحظت انخفاضًا ملحوظًا في أسعار باقات الإنترنت بعد دخول منافسين جدد للسوق.,انخفاضًا,1
انبهرت بخدمة الواقع الافتراضي التي تقدمها الشركة لمشاهدة الأماكن السياحية.,خدمة الواقع الافتراضي,1
أشعر بالإحباط من عدم وجود باقات إنترنت شهرية بدون حد للاستخدام.,عدم وجود باقات إنترنت,-1
استفدت من خدمة استبدال الهاتف التالف بجهاز جديد وفقًا للضمان.,خدمة استبدال الهاتف,1
تمنيت لو كان بإمكاني مشاركة باقة الإنترنت الخاصة بي مع أفراد العائلة الآخرين.,,
أسعدني تلقي مكالمة ترحيبية من الشركة عند الاشتراك بخدمة جديدة.,مكالمة ترحيبية,1
تمنيت لو كان بإمكاني تتبع حركة استهلاك الإنترنت بشكل تفصيلي (بما في ذلك التطبيقات المستخدمة).,,
استفدت من خدمة توصيل الفني للمساعدة في تركيب جهاز الهاتف الأرضي الجديد.,,
لاحظت تحسنًا ملحوظًا في جودة المكالمات الصوتية عبر شبكة الهاتف المحمول.,تحسنًا,1
انبهرت بخدمة الترجمة الفورية المتوفرة أثناء المكالمات الدولية.,خدمة الترجمة الفورية,1
أشعر بالقلق بشأن ارتفاع تكلفة استبدال شريحة الهاتف التالفة.,شأن ارتفاع,1
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء في الفرع الرئيسي.,خبرة ,1
استفدت من خدمة شحن الرصيد عبر المحافظ الإلكترونية.,خدمة شحن الرصيد,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية خاصة بالألعاب الإلكترونية.,,
تمنيت لو كان بإمكاني تخصيص باقة الاشتراك لتناسب احتياجاتي الفردية.,,
أسعدني وجود خدمة عملاء متاحة بعدة لغات.,وجود خدمة عملاء متاحة,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة حظر المكالمات والرسائل غير المرغوبة.,,
استفدت من خدمة الإبلاغ عن البريد الإلكتروني المزعج عبر الإنترنت.,خدمة الإبلاغ,1
لاحظت تحسنًا في استقرار خدمة الإنترنت الأرضي خلال فترة الأعياد.,استقرار خدمة الإنترنت,1
انبهرت بسرعة تنفيذ طلب تجميد خدمة الهاتف أثناء السفر.,سرعة تنفيذ طلب,1
أشعر بالرضا عن الشفافية في عرض تفاصيل الفاتورة الشهرية.,الشفافية,1
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء عبر البريد الإلكتروني.,خبرة ,1
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بخصومات على أجهزة الهاتف المحمول.,خدمة تجميع النقاط,1
أتمنى أن يكون لدى الشركة عروضًا خاصة للعملاء ذوي الاحتياجات الخاصة.,,
تمنيت لو كان بإمكاني شراء باقة هاتف منفصلة عن باقة الإنترنت.,,
أسعدني تلقي مكالمة متابعة من الشركة بعد تقديم شكوى.,تلقي مكالمة متابعة,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة مشاركة الملفات الكبيرة بسهولة.,,
استفدت من خدمة توصيل الفني لإصلاح مشكلة بطاقة SIM.,خدمة توصيل الفني,1
لاحظت تحسنًا في استجابة فريق خدمة العملاء عبر وسائل التواصل الاجتماعي.,استجابة فريق خدمة العملاء,1
انبهرت بخدمة البث الموسيقي المجاني المتوفرة على تطبيق الهاتف.,خدمة البث الموسيقي,1
أشعر بالرضا عن سهولة استخدام تطبيق الهاتف لإدارة الإشعارات.,سهولة استخدام,1
انطبعت لدي خبرة سلبية مع فريق خدمة العملاء عبر الهاتف بسبب طول فترة الانتظار.,خبرة,-1
استفدت من خدمة شحن الرصيد عن طريق الأصدقاء في الخارج.,خدمة شحن الرصيد,1
تمنيت لو كان بإمكاني تتبع استهلاك الإنترنت بشكل أكثر دقة.,تتبع استهلاك الإنترنت,1
استفدت من خدمة توصيل الفني للمساعدة في إعداد جهاز الإنترنت الجديد.,خدمة توصيل الفني,1
لاحظت انخفاضًا في قوة إشارة الهاتف في بعض الأماكن المغلقة.,قوة إشارة الهاتف,-1
انبهرت بالتنوع الكبير في باقات الإنترنت التي تلبي مختلف الاحتياجات.,التنوع الكبير,1
أشعر بالقلق بشأن سياسة الاستخدام العادل للإنترنت.,شأن سياسة,1
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء عبر وسائل التواصل الاجتماعي.,خبرة,1
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بخصومات على الفواتير.,خدمة تجميع النقاط,1
أتمنى أن يكون لدى الشركة خيارات دفع إضافية مثل المحافظ الإلكترونية.,,
تمنيت لو كان بإمكاني شراء باقة بيانات إضافية بشكل منفصل.,,
أسعدني وجود خدمة عملاء متاحة باللغة الإنجليزية.,وجود خدمة عملاء,1
تمنيت لو كان تطبيق الهاتف يدعم ميزة الترجمة الفورية للمكالمات.,تطبيق الهاتف,1
استفدت من خدمة الإبلاغ عن الأعطال عبر تطبيق الهاتف.,خدمة الإبلاغ,1
لاحظت تحسنًا في جودة البث التلفزيوني عبر الإنترنت.,جودة البث التلفزيوني,1
انبهرت بسرعة معالجة طلبي لتغيير باقة الاشتراك.,بسرعة معالجة طلبي,1
أشعر بالرضا عن استقرار شبكة الهاتف المحمول في معظم المناطق.,استقرار شبكة الهاتف المحمول,1
انطبعت لدي خبرة سلبية مع فريق خدمة العملاء في أحد فروع الشركة.,خبرة ,-1
استفدت من خدمة توصيل شريحة الهاتف إلى مكان العمل.,خدمة توصيل شريحة الهاتف,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية تتضمن خدمات سحابية.,,
تمنيت لو كان بإمكاني جدولة إعادة تشغيل جهاز الإنترنت عن بعد.,,
أسعدني تلقي إشعارات حول العروض الترويجية الجديدة والمقبلة.,تلقي إشعارات,1
تمنيت لو كان تطبيق الهاتف يوفر ميزة إدارة حسابات متعددة.,,
استفدت من خدمة توصيل الفني لإصلاح مشكلة بطاقة الإنترنت.,خدمة توصيل,1
لاحظت تحسنًا في سرعة استجابة فريق خدمة العملاء عبر الهاتف.,سرعة استجابة,1
انبهرت بجودة خدمة الإنترنت اللاسلكي المجاني في بعض الأماكن العامة.,جودة خدمة الإنترنت اللاسلكي المجاني,1
أشعر بالرضا عن سهولة استخدام تطبيق الهاتف لإجراء التحويلات المالية.,سهولة استخدام تطبيق الهاتف,1
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء عبر الدردشة المباشرة.,خبرة,1
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بجوائز قيمة مثل تذاكر السفر.,خدمة تجميع,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية تناسب رواد الأعمال.,,
تمنيت لو كان بإمكاني تفعيل شريحة الهاتف الجديدة إلكترونيًا.,,
أسعدني وجود خدمة عملاء متاحة على مدار 24 ساعة في اليوم.,وجود خدمة عملاء,1
انزعجت من تعقيد عملية إلغاء خدمة الإنترنت المنزلي.,تعقيد عملية,-1
استفدت من العروض الخاصة بالعودة إلى الدراسة.,العروض الخاصة,1
لاحظت تحسنًا في سرعة استجابة خدمة العملاء عبر الإنترنت.,سرعة استجابة,1
أفتقد وجود ميزة تحديد موعد مسبق لزيارة فني صيانة الإنترنت.,,
استفدت من خدمة الاشتراك المشترك مع العائلة مما وفر علينا الكثير.,خدمة الاشتراك,1
انزعجت من انقطاع خدمة الإنترنت المتكرر خلال فترة الامتحانات.,انقطاع خدمة الإنترنت ,-1
أعجبتني مبادرة الشركة لتوفير برامج تعليمية مجانية للأطفال.,مبادرة الشركة ,1
أواجه صعوبة في فهم بعض المصطلحات المستخدمة في العروض المقدمة.,,
استفدت من خدمة استبدال الهاتف القديم بآخر جديد.,خدمة استبدال,1
أشعر بالإحباط من عدم وجود خدمة عملاء على مدار الساعة.,وجود خدمة عملاء,-1
تطبيق الهاتف يفتقر إلى بعض الميزات المهمة التي توفرها تطبيقات الشركات الأخرى.,تطبيق الهاتف ,-1
"انقطعت المكالمة مرة أثناء مقابلة عمل مهمة،أتمنى تحسين جودة الشبكة.",,
استفدت من خدمة البث المجاني للأحداث الرياضية المهمة.,خدمة البث,1
أشعر بالقلق بشأن ارتفاع فواتير الهاتف في نهاية الشهر.,ارتفاع,-1
لم أكن راضيًا عن تجربتي مع خدمة صيانة الأجهزة المنزلية.,تجربتي,-1
انطبعت لدي خبرة إيجابية مع فريق خدمة العملاء في الفرع.,خبرة,1
أتمنى أن يكون لدى الشركة مراكز خدمة أكثر انتشارًا.,,
أفتقد وجود عروض خاصة للطلاب.,,
استفدت من خدمة نقاط المكافأة التي يمكن استبدالها بالعديد من المزايا.,خدمة نقاط المكافأة,1
لاحظت انخفاضًا ملحوظًا في سرعة الإنترنت خلال أوقات الذروة.,نخفاضًا,-1
أشعر بالرضا عن سهولة استخدام تطبيق الهاتف لإدارة الحساب.,سهولة استخدام,1
انزعجت من تجربة شراء هاتف جديد عبر الإنترنت بسبب تأخير عملية الشحن.,تجربة شراء هاتف,-1
استفدت من خدمة المساعدة الفنية عبر الهاتف لحل مشكلة في الإنترنت.,خدمة المساعدة الفنية,1
أتمنى أن توفر الشركة باقات إنترنت شهرية بكميات أكبر من البيانات.,,
أعجبتني للمسؤولية المجتمعية ودعمها للمشاريع المحلية.,,
أواجه صعوبة في تتبع استهلاك الرصيد بسبب عدم وجود تفاصيل كافية في التطبيق.,تتبع استهلاك الرصيد,1
استفدت من العروض الخاصة بشهر رمضان المبارك.,العروض الخاصة ,1
أشعر بالرضا عن جودة خدمة الإنترنت الأرضي ولكن أحتاج إلى تغطية أكبر للشبكة اللاسلكية.,جودة خدمة الإنترنت الأرضي,1
لم أقتنع بمزايا باقة الاشتراك الحالية وأفكر في تغييرها.,,
أزعجني كثرة الإعلانات التي تظهر أثناء استخدام تطبيق الهاتف.,كثرة الإعلانات,-1
استفدت من خدمة شحن الرصيد عن طريق الأصدقاء.,خدمة شحن الرصيد,1
أتمنى أن تقوم الشركة بتحسين جودة المكالمات الدولية.,,
انبهرت بسرعة توصيل شريحة الهاتف الجديدة إلى المنزل.,بسرعة توصيل ,1
أشعر بالرضا عن استقرار شبكة الإنترنت المنزلي.,استقرار شبكة,1
لم أكن راضيًا عن تجربتي مع خدمة تجديد الباقة عبر الإنترنت.,تجربتي ,-1
أرغب في أن تقدم الشركة خصومات أكبر للعملاء الذين يدفعون الفاتورة مقدمًا.,,
استفدت من خدمة تجميع النقاط التي يمكن استبدالها بجوائز قيمة.,خدمة تجميع النقاط,1
أتمنى أن يكون لدى الشركة باقات إنترنت شهرية تناسب احتياجات العمل الحر.,,
أشعر بالإحباط من صعوبة الوصول إلى ممثل خدمة عملاء عبر الهاتف.,صعوبة الوصول ,-1
لاحظت تحسنًا في واجهة تطبيق الهاتف بعد التحديث الأخير.,واجهة تطبيق,-1
أرغب في أن تقدم الشركة عروضًا خاصة لأصحاب المشاريع الصغيرة.,,
انزعجت من إلغاء العرض الترويجي الذي كنت استفيد منه.,,
استفدت من خدمة توصيل الفني إلى المكتب لحل مشكلة الإنترنت.,,
أشعر بالقلق بشأن ارتفاع أسعار أجهزة الهاتف المحمول التي تقدمها الشركة.,ارتفاع أسعار,-1
انطبعت لدي خبرة سلبية مع فريق خدمة العملاء عبر البريد الإلكتروني.,خبرة,-1
استفدت من خدمة الدفع الإلكتروني للفاتورة الشهرية.,,
لاحظت تحسنًا ملحوظًا في جودة الإنترنت خلال الفترة الأخيرة.,جودة الإنترنت,1
أتمنى أن يكون لدى الشركة تطبيق خاص بالترفيه يقدم محتوى متنوع.,,
لم أكن راضيًا عن سرعة الاستجابة لخدمة العملاء عبر الإنترنت.,سرعة الاستجابة ,-1
أواجه انقطاع للإنترنت بشكل متكرر مما يسبب لي إزعاج.,أواجه انقطاع للإنترنت,-1
"إنترنت منزلي سريع ومستقر،لكن خدمة العملاء تحتاج إلى تحسن.","إنترنت منزلي،خدمة العملاء","1,-1"
"تغطية شبكة الهاتف واسعة،لكن أسعار الباقات مرتفعة قليلاً.","تغطية شبكة الهاتف،أسعار الباقات","1,-1"
عروض الإنترنت الشهرية متنوعة وتناسب جميع الاحتياجات.,عروض الإنترنت الشهرية,1
تطبيق الهاتف سهل الاستخدام ويوفر العديد من الميزات.,تطبيق الهاتف,-1
"دائما تواجه مشاكل في انقطاع المكالمات،أتمنى تحسين جودة الشبكة.",مشاكل ,-1
سرعة الإنترنت جيدة ولكن تقل كثافة الإشارة في بعض المناطق.,سرعة الإنترنت,0
استفدت كثيرا من العروض الترويجية التي تقدمها الشركة.,العروض الترويجية,1
"خدمة الإنترنت اللاسلكي جيدة،لكن باقة البيانات تنفد بسرعة.","خدمة الإنترنت اللاسلكي،باقة البيانات","1,-1"
أتمنى لو توفر الشركة باقات إنترنت منزلية بدون حد للاستخدام.,,
تجربتي مع خدمة ما بعد البيع كانت إيجابية وسريعة الاستجابة.,تجربتي مع خدمة,1
أشعر بالإحباط من صعوبة تغيير باقة الاشتراك.,صعوبة تغيير باقة الاشتراك,-1
تطبيق الهاتف بطيء ويحتاج إلى تحديث دائم.,تطبيق الهاتف,-1
"بشكل عام،خدمة الإنترنت جيدة ولكن أسعار المكالمات الدولية مرتفعة.","خدمة الإنترنت، أسعار المكالمات الدولية","1,-1"
تغطية شبكة الجوال ممتازة حتى في المناطق النائية.,تغطية شبكة الجوال,1
عروض التجوال الدولي مكلفة للغاية.,,
نادرًا ما أواجه مشاكل في انقطاع الإنترنت.,,
أشعر بالرضا عن جودة المكالمات الصوتية والفيديو.,جودة المكالمات,1
أتمنى من الشركة أن تقدم المزيد من باقات الإنترنت العائلية.,,
استخدمت خطين من نفس الشركة واستفدت من العروض المشتركة.,استفدت من العروض المشتركة.,1
عملية شحن الرصيد عبر الإنترنت بسيطة وسريعة.,عملية شحن الرصيد,1
فكرت في تغيير الشركة بسبب ضعف قوة إشارة الهاتف في منطقتي.,قوة إشارة الهاتف,-1
"بشكل عام،خدمة العملاء جيدة ولكن يمكن أن تكون أسرع في حل المشاكل.",خدمة العملاء,0
استفدت من خدمة توصيل شريحة الهاتف إلى المنزل.,خدمة توصيل شريحة الهاتف ,1
العروض التي تقدمها الشركة تنافسية ومميزة.,الشركة,1
أشعر بخيبة أمل من عدم وجود متجر قريب لتسهيل عمليات الشحن والتحويل.,عدم وجود متجر,-1
جودة خدمة الإنترنت تختلف حسب المنطقة.,,
تطبيق الهاتف يوفر ميزة رائعة وهي تتبع استهلاك البيانات.,ميزة,1
لم أواجه أي مشاكل في تفعيل شريحة الهاتف الجديدة.,,
أتمنى أن تقوم الشركة بتحسين خدمة الإنترنت اللاسلكي العام.,,
"استفدت من خدمة الإنترنت الأرضي اللاسلكي،ووفرت علي الكثير.",خدمة الإنترنت الأرضي اللاسلكي,1
أشعر بالرضا عن سرعة تنزيل وتحميل البيانات.,سرعة ,1
دائما أستخدم تطبيق الهاتف لإدارة باقة الاشتراك.,,
عانيت من مشاكل في تلقي الرسائل النصية القصيرة SMS.,مشاكل ,1
أرغب في أن تقدم الشركة باقات إنترنت شهرية بأسعار مخفضة.,,
استفدت من خدمة توصيل الفني إلى المنزل لحل مشكلة الإنترنت.,خدمة توصيل الفني,1
أشعر بالراحة عند استخدام شبكة الإنترنت في الأماكن العامة.,الراحة ,1
لم أقتنع بالخصومات التي تقدمها الشركة للعملاء القدامى.,,
أواجه صعوبة في فهم بعض البنود الواردة في العقد.,صعوبة ,-1
استفدت من خدمة تقسيط الهاتف المحمول.,,
أتمنى لو كان لدي خيار اختيار باقة إنترنت بدون هاتف.,,
أشعر بالرضا عن تجربتي بشكل عام مع شركة الاتصالات هذه.,تجربة,1
تغطية شبكة الهاتف جيدة حتى داخل المباني.,تغطية شبكة الهاتف,1
عملية نقل الرقم من شركة أخرى كانت بسيطة وسريعة.,عملية نقل الرقم,1
"سرعة الإنترنت جيدة جدًا،لكن خدمة العملاء تحتاج إلى تحسين.","سرعة،خدمة العملاء","1,-1"
"تغطية الهاتف المحمول ممتازة في معظم المناطق،ولكن الأسعار يمكن أن تكون مرتفعة قليلاً.","تغطية الهاتف المحمول،الأسعار ","1,-1"
عروض الإنترنت البسيطة سهلة الفهم وتوفر قيمة جيدة مقابل المال.,"عروض الإنترنت، قيمة ","1,1"
عملية شراء خط جديد كانت سريعة وسهلة.,عملية شراء خط جديد ,1
تطبيق الهاتف المحمول سهل الاستخدام ولكنه يفتقر إلى بعض الميزات.,تطبيق الهاتف المحمول,0
كنت سعيدًا بخيارات باقات الإنترنت المختلفة المتاحة.,,
"انقطاع الاتصال بالإنترنت يحدث في بعض الأحيان،وهو أمر محبط.",أمر,-1
استغرق حل مشكلتي الأخيرة مع خدمة العملاء وقتًا أطول مما كنت أفضله.,حل مشكلتي الأخيرة,-1
"بشكل عام،أنا راضٍ عن تجربتي مع شركة الاتصالات هذه.",تجربة,1
أود أن أرى المزيد من العروض الترويجية للعملاء الحاليين.,,
جودة المكالمات الصوتية واضحة باستمرار.,جودة المكالمات الصوتية ,1
أتمنى لو كان لديهم المزيد من الفروع المفتوحة في منطقتي.,,
إنترنت الهاتف المحمول سريع وموثوق به في معظم الأحيان.,إنترنت الهاتف المحمول ,1
واجهت بعض الصعوبة في فهم شروط وأحكام بعض الباقات.,فهم شروط وأحكام ,-1
أرغب في أن تكون أسعار التجوال الدولي أكثر تنافسية.,أسعار التجوال الدولي,-1
"بعد تجربة العديد من الشركات،وجدت أن هذه الشركة تقدم أفضل قيمة مقابل السعر.",الشركة,1
تطبيق إدارة الحساب عبر الإنترنت سهل الاستخدام ويوفر لي تحكمًا كبيرًا.,تطبيق إدارة الحساب عبر الإنترنت,1
أتمنى لو أن لديهم دعم فني على مدار الساعة طوال أيام الأسبوع.,,
عروض البيانات الإضافية مفيدة عند الحاجة إليها.,عروض البيانات الإضافية,1
كان موظف خدمة العملاء الذي تحدثت إليه مؤخرًا مفيدًا للغاية.,موظف خدمة العملاء,1
الباقة التي اشتركت بها تناسب احتياجاتي تمامًا.,الباقة ,1
واجهت مشكلة في تلقي رسالة تحقق مهمة.,مشكلة,-1
"إنترنت المنزل ثابت وسريع،مثالي للعمل عن بعد.",إنترنت المنزل ,1
يمكن أن تكون عملية شحن الرصيد عبر الإنترنت بطيئة في بعض الأحيان.,عملية شحن الرصيد,-1
أوصي بشدة بهذه الشركة لأي شخص يبحث عن مزود اتصال موثوق.,الشركة,1
أعتقد أن هناك مجالًا لتحسين قوة إشارة الهاتف المحمول في بعض المناطق الريفية.,مجالًا,-1
العروض الترويجية التي يقدمونها مغرية حقًا.,العروض الترويجية,1
أصبح من السهل جدًا إدارة استخدام البيانات الخاص بي باستخدام التطبيق.,إدارة استخدام البيانات,1
كنت أتمنى أن تكون هناك طريقة أسرع لإرجاع جهاز التوجيه الخاص بي.,طريقة,-1
"بشكل عام،أنا سعيد بخدمة الإنترنت ولكن يمكن تحسين خدمة الهاتف المحمول.","خدمة الإنترنت،خدمة الهاتف المحمول","1,-1"
عملية نقل رقمي هاتفي كانت سلسة وخالية من المتاعب.,عملية نقل رقم هاتف,1
أفتقد إلى وجود مكافآت ولاء للعملاء الحاليين.,,
أسعار المكالمات الدولية معقولة إلى حد ما.,أسعار المكالمات الدولية,1
أستمتع باستخدام ميزة المكالمات الجماعية لتسهيل التواصل مع العائلة.,ميزة المكالمات,1
يمكن أن تكون عملية استكشاف الأعطال وإصلاحها عبر الهاتف مع خدمة العملاء طويلة.,عملية استكشاف الأعطال,-1
أنا معجب بتنوع باقات الإنترنت التي تلبي احتياجات مختلفة.,تنوع باقات الإنترنت,1
واجهت بعض التقلبات في سرعة الإنترنت في الآونة الأخيرة.,التقلبات,-1
أود أن أرى خيارات دفع أكثر ملاءمة عبر الإنترنت.,,
"بشكل عام،خدمة الإنترنت جيدة ولكن خدمة الهاتف المحمول تحتاج إلى تحسين.","خدمة الإنترنت،خدمة الهاتف المحمول","1,-1 "
واجهت صعوبة في إلغاء اشتراكي في خدمة إضافية لم أعد أرغب فيها.,إلغاء اشتراكي,-1
أقدر ردود خدمة العملاء السريعة عبر وسائل التواصل الاجتماعي.,ردود خدمة العملاء,1
أشعر أن جودة الاتصال تتحسن باستمرار.,جودة الاتصال ,1
أرغب في أن تقدم الشركة المزيد من الخصومات على أجهزة الهاتف المحمول الجديدة.,,
استمتع بالمزايا المجانية التي تأتي مع بعض الباقات.,المزايا,1
واجهت مشكلة في تسجيل الدخول إلى حسابي عبر الإنترنت.,,
أود أن يكون لديهم خيار الدفع الفوري بالبطاقة عند شراء رصيد إضافي.,,
"بشكل عام،أنا راضٍ عن تجربتي مع شركة الاتصالات هذه.",تجربة,1
أشعر بخيبة أمل من عدم وجود تغطية للإنترنت في بعض الأماكن النائية.,تغطية للإنترنت,-1
أرغب في أن تقدم الشركة عروضًا أرخص للإنترنت غير المحدود.,,
أقدر الشفافية في فواتيري الشهرية.,الشفافية,1
كان من السهل جدًا العثور على إجابات لأسئلتي على موقع الشركة.,العثور,1
أشعر أن أسعار الباقات أصبحت أكثر تنافسية مؤخرًا.,أسعار الباقات,-1
أفتقد إلى وجود تطبيق دردشة مجاني ضمن الباقة.,,
سأوصي بهذه الشركة لأصدقائي الذين يبحثون عن مزود اتصال جديد.,الشركة,1
عروض تجربة مجانية للخدمات الجديدة مفيدة للغاية.,عروض تجربة مجانية,1
أشعر بالإحباط من انقطاع المكالمات الصوتية المفاجئة في بعض الأحيان.,انقطاع المكالمات الصوتية,-1
أرغب في أن تقدم الشركة خصومات أكبر للعملاء الذين يدفعون مقدمًا.,,
موظفو خدمة العملاء ودودين ومتعاونين.,موظفو خدمة العملاء,1
واجهت مشكلة في استلام بطاقة SIM الخاصة بي في الوقت المحدد.,مشكلة,-1
أشعر بالرضا عن سرعة الإنترنت التي أحصل عليها.,سرعة الإنترنت,1
